,Id,time,Count
5128,374,2021-01-18 02:00:00.000,2
5129,374,2021-01-18 02:00:00.000,1
5130,374,2021-01-18 02:00:00.000,1
5131,374,2021-01-18 02:00:00.000,2
5132,374,2021-01-18 02:00:00.000,2
5133,374,2021-01-18 02:00:00.000,1
5134,374,2021-01-18 02:00:00.000,2
5135,374,2021-01-18 02:00:00.000,1
5312,374,2021-01-25 05:00:00.000,1
5318,374,2021-01-25 05:00:00.000,2
5319,374,2021-01-25 05:00:00.000,1
5320,374,2021-01-25 05:00:00.000,1
5321,374,2021-01-25 05:00:00.000,1
5322,374,2021-01-25 05:00:00.000,1
5323,374,2021-01-25 05:00:00.000,2
5324,374,2021-01-25 05:00:00.000,2
5325,374,2021-01-25 10:00:00.000,1
5326,374,2021-01-25 05:00:00.000,2
5327,374,2021-01-25 05:00:00.000,2
5328,374,2021-01-25 05:00:00.000,1
5329,374,2021-01-25 10:00:00.000,1
5330,374,2021-01-25 02:00:00.000,1
5331,374,2021-01-25 02:00:00.000,1
5332,374,2021-01-25 02:00:00.000,1
5333,374,2021-01-25 02:00:00.000,1
5334,374,2021-01-25 02:00:00.000,1
5335,374,2021-01-25 02:00:00.000,1
5336,374,2021-01-25 02:00:00.000,1
5337,374,2021-01-25 02:00:00.000,1
5473,374,2021-01-20 02:00:00.000,1
5494,374,2021-01-20 10:00:00.000,1
5793,374,2021-01-21 05:00:00.000,1
5809,374,2021-01-25 02:00:00.000,1
5810,374,2021-01-25 02:00:00.000,2
5811,374,2021-01-25 02:00:00.000,2
5812,374,2021-01-25 02:00:00.000,2
5813,374,2021-01-25 02:00:00.000,2
5814,374,2021-01-25 02:00:00.000,2
5815,374,2021-01-25 02:00:00.000,2
5816,374,2021-01-25 02:00:00.000,2
5817,374,2021-01-25 02:00:00.000,2
5818,374,2021-01-25 02:00:00.000,2
5819,374,2021-01-25 02:00:00.000,2
5820,374,2021-01-25 02:00:00.000,2
5821,374,2021-01-25 02:00:00.000,2
5822,374,2021-01-25 02:00:00.000,2
5823,374,2021-01-25 02:00:00.000,2
5824,374,2021-01-25 02:00:00.000,2
5825,374,2021-01-25 02:00:00.000,2
5826,374,2021-01-25 02:00:00.000,2
5827,374,2021-01-25 02:00:00.000,2
5828,374,2021-01-25 02:00:00.000,1
5829,374,2021-01-25 02:00:00.000,1
5830,374,2021-01-25 02:00:00.000,2
5831,374,2021-01-25 02:00:00.000,2
5832,374,2021-01-25 02:00:00.000,1
5833,374,2021-01-25 02:00:00.000,1
5834,374,2021-01-25 02:00:00.000,2
5835,374,2021-01-25 02:00:00.000,2
5836,374,2021-01-25 02:00:00.000,1
5837,374,2021-01-25 02:00:00.000,1
5838,374,2021-01-25 02:00:00.000,1
5967,374,2021-01-24 05:00:00.000,2
5968,374,2021-01-24 02:00:00.000,1
5970,374,2021-01-24 02:00:00.000,1
5972,374,2021-01-24 05:00:00.000,2
5973,374,2021-01-24 02:00:00.000,1
5974,374,2021-01-24 05:00:00.000,2
5976,374,2021-01-24 02:00:00.000,1
5977,374,2021-01-24 05:00:00.000,1
5979,374,2021-01-24 02:00:00.000,1
5981,374,2021-01-24 02:00:00.000,2
5983,374,2021-01-24 02:00:00.000,2
5985,374,2021-01-24 02:00:00.000,2
5987,374,2021-01-24 02:00:00.000,2
5989,374,2021-01-24 02:00:00.000,2
5991,374,2021-01-24 02:00:00.000,2
5993,374,2021-01-24 02:00:00.000,2
5995,374,2021-01-24 02:00:00.000,2
5997,374,2021-01-24 02:00:00.000,2
5999,374,2021-01-24 02:00:00.000,2
6001,374,2021-01-24 02:00:00.000,2
6003,374,2021-01-24 02:00:00.000,2
6005,374,2021-01-24 02:00:00.000,2
6007,374,2021-01-24 02:00:00.000,2
6009,374,2021-01-24 02:00:00.000,2
6072,374,2021-01-24 02:00:00.000,2
6073,374,2021-01-24 02:00:00.000,2
6074,374,2021-01-24 02:00:00.000,2
6075,374,2021-01-24 02:00:00.000,2
6076,374,2021-01-24 02:00:00.000,1
6077,374,2021-01-24 02:00:00.000,1
6078,374,2021-01-24 02:00:00.000,2
6079,374,2021-01-24 02:00:00.000,2
6080,374,2021-01-24 02:00:00.000,1
6081,374,2021-01-24 02:00:00.000,1
6082,374,2021-01-24 02:00:00.000,2
6083,374,2021-01-24 02:00:00.000,2
6084,374,2021-01-24 02:00:00.000,1
6085,374,2021-01-24 02:00:00.000,1
6086,374,2021-01-24 02:00:00.000,1
6165,374,2021-01-17 10:00:00.000,1
6166,374,2021-01-17 02:00:00.000,1
6167,374,2021-01-17 05:00:00.000,2
6168,374,2021-01-17 05:00:00.000,1
6169,374,2021-01-17 02:00:00.000,1
6170,374,2021-01-17 02:00:00.000,1
6171,374,2021-01-17 05:00:00.000,1
6172,374,2021-01-17 02:00:00.000,1
6173,374,2021-01-17 05:00:00.000,1
6174,374,2021-01-17 05:00:00.000,1
6175,374,2021-01-17 02:00:00.000,1
6176,374,2021-01-17 02:00:00.000,1
6177,374,2021-01-17 05:00:00.000,1
6178,374,2021-01-17 05:00:00.000,2
6179,374,2021-01-17 02:00:00.000,1
6180,374,2021-01-17 02:00:00.000,1
6181,374,2021-01-17 05:00:00.000,2
6182,374,2021-01-17 05:00:00.000,2
6183,374,2021-01-17 02:00:00.000,1
6184,374,2021-01-17 02:00:00.000,1
6185,374,2021-01-17 02:00:00.000,1
6186,374,2021-01-17 02:00:00.000,2
6187,374,2021-01-17 02:00:00.000,2
6188,374,2021-01-17 02:00:00.000,2
6189,374,2021-01-17 02:00:00.000,2
6190,374,2021-01-17 02:00:00.000,2
6191,374,2021-01-17 02:00:00.000,2
6192,374,2021-01-17 02:00:00.000,2
6193,374,2021-01-17 02:00:00.000,2
6194,374,2021-01-17 02:00:00.000,2
6195,374,2021-01-17 02:00:00.000,2
6196,374,2021-01-17 02:00:00.000,2
6197,374,2021-01-17 02:00:00.000,2
6198,374,2021-01-17 02:00:00.000,2
6199,374,2021-01-17 02:00:00.000,2
6200,374,2021-01-17 02:00:00.000,2
6201,374,2021-01-17 02:00:00.000,2
6202,374,2021-01-17 02:00:00.000,2
6203,374,2021-01-17 02:00:00.000,2
6204,374,2021-01-17 02:00:00.000,2
6205,374,2021-01-17 02:00:00.000,2
6206,374,2021-01-17 02:00:00.000,1
6207,374,2021-01-17 02:00:00.000,1
6208,374,2021-01-17 02:00:00.000,2
6209,374,2021-01-17 02:00:00.000,2
6210,374,2021-01-17 02:00:00.000,1
6213,374,2021-01-17 02:00:00.000,2
6434,374,2021-01-26 02:00:00.000,1
6435,374,2021-01-26 10:00:00.000,1
6437,374,2021-01-20 02:00:00.000,1
6438,374,2021-01-20 05:00:00.000,2
6439,374,2021-01-20 05:00:00.000,1
6440,374,2021-01-20 10:00:00.000,1
6441,374,2021-01-20 02:00:00.000,1
6442,374,2021-01-20 05:00:00.000,1
6443,374,2021-01-20 02:00:00.000,1
6444,374,2021-01-20 05:00:00.000,1
6445,374,2021-01-20 02:00:00.000,1
6446,374,2021-01-20 05:00:00.000,1
6447,374,2021-01-20 02:00:00.000,1
6448,374,2021-01-20 05:00:00.000,1
6449,374,2021-01-20 02:00:00.000,1
6450,374,2021-01-20 05:00:00.000,2
6451,374,2021-01-20 02:00:00.000,1
6452,374,2021-01-20 05:00:00.000,2
6453,374,2021-01-20 02:00:00.000,1
6454,374,2021-01-20 05:00:00.000,2
6455,374,2021-01-20 02:00:00.000,1
6456,374,2021-01-20 05:00:00.000,2
6457,374,2021-01-20 02:00:00.000,1
6458,374,2021-01-20 02:00:00.000,1
6459,374,2021-01-20 05:00:00.000,1
6460,374,2021-01-20 02:00:00.000,2
6461,374,2021-01-20 02:00:00.000,2
6462,374,2021-01-20 02:00:00.000,2
6463,374,2021-01-20 02:00:00.000,2
6464,374,2021-01-20 02:00:00.000,2
6465,374,2021-01-20 02:00:00.000,2
6466,374,2021-01-20 02:00:00.000,2
6467,374,2021-01-20 02:00:00.000,2
6468,374,2021-01-20 02:00:00.000,2
6469,374,2021-01-20 02:00:00.000,2
6470,374,2021-01-20 02:00:00.000,2
6471,374,2021-01-20 02:00:00.000,2
6472,374,2021-01-20 02:00:00.000,2
6473,374,2021-01-20 02:00:00.000,2
6474,374,2021-01-20 02:00:00.000,2
6475,374,2021-01-20 02:00:00.000,2
6476,374,2021-01-20 02:00:00.000,2
6477,374,2021-01-20 02:00:00.000,2
6478,374,2021-01-20 02:00:00.000,2
6479,374,2021-01-20 02:00:00.000,1
6480,374,2021-01-20 02:00:00.000,1
6481,374,2021-01-20 02:00:00.000,2
6482,374,2021-01-20 02:00:00.000,2
6483,374,2021-01-20 02:00:00.000,1
6484,374,2021-01-20 02:00:00.000,1
6487,374,2021-01-27 02:00:00.000,1
6488,374,2021-01-27 05:00:00.000,1
6490,374,2021-01-27 02:00:00.000,1
6491,374,2021-01-27 05:00:00.000,1
6493,374,2021-01-27 02:00:00.000,1
6494,374,2021-01-27 05:00:00.000,1
6496,374,2021-01-27 02:00:00.000,1
6497,374,2021-01-27 05:00:00.000,2
6499,374,2021-01-27 05:00:00.000,2
6500,374,2021-01-27 02:00:00.000,1
6501,374,2021-01-27 02:00:00.000,1
6502,374,2021-01-27 05:00:00.000,2
6503,374,2021-01-27 02:00:00.000,1
6504,374,2021-01-27 05:00:00.000,2
6505,374,2021-01-27 02:00:00.000,1
6506,374,2021-01-27 05:00:00.000,1
6507,374,2021-01-27 02:00:00.000,2
6508,374,2021-01-27 05:00:00.000,1
6509,374,2021-01-27 02:00:00.000,2
6510,374,2021-01-27 05:00:00.000,1
6511,374,2021-01-27 02:00:00.000,2
6512,374,2021-01-27 02:00:00.000,2
6513,374,2021-01-27 02:00:00.000,2
6514,374,2021-01-27 02:00:00.000,2
6515,374,2021-01-27 02:00:00.000,2
6516,374,2021-01-27 02:00:00.000,2
6517,374,2021-01-27 02:00:00.000,2
6518,374,2021-01-27 02:00:00.000,2
6519,374,2021-01-27 02:00:00.000,2
6520,374,2021-01-27 02:00:00.000,2
6521,374,2021-01-27 02:00:00.000,2
6522,374,2021-01-27 02:00:00.000,2
6523,374,2021-01-27 02:00:00.000,2
6524,374,2021-01-27 02:00:00.000,2
6525,374,2021-01-27 02:00:00.000,1
6526,374,2021-01-27 02:00:00.000,1
6527,374,2021-01-27 02:00:00.000,2
6528,374,2021-01-27 02:00:00.000,2
6529,374,2021-01-27 02:00:00.000,1
6530,374,2021-01-27 02:00:00.000,1
6531,374,2021-01-27 02:00:00.000,2
6532,374,2021-01-27 02:00:00.000,2
6533,374,2021-01-27 02:00:00.000,1
6534,374,2021-01-27 02:00:00.000,1
6535,374,2021-01-27 02:00:00.000,1
6536,374,2021-01-27 02:00:00.000,1
6537,374,2021-01-27 02:00:00.000,1
6714,374,2021-01-23 05:00:00.000,2
6715,374,2021-01-23 10:00:00.000,1
6716,374,2021-01-23 02:00:00.000,1
6717,374,2021-01-23 02:00:00.000,1
6718,374,2021-01-23 05:00:00.000,1
6719,374,2021-01-23 02:00:00.000,1
6720,374,2021-01-23 05:00:00.000,1
6721,374,2021-01-23 02:00:00.000,1
6722,374,2021-01-23 05:00:00.000,1
6723,374,2021-01-23 02:00:00.000,1
